MSV,Ma_Mon_Hoc_rieng,So_luong_mon_rieng,Ma_Mon_chung,So_luong_lop_trung
18101289,['BIO2210'],1,[],0
18102880,['CHE1057'],1,[],0
18103005,['SMP2053'],1,[],0
18103021,['CHE1081'],1,[],0
18103023,['BIO2210'],1,[],0
18104983,['MAT1101'],1,[],0
18105550,['CHE1155'],1,[],0
18105994,['CHE1081'],1,[],0
18106080,['SMP2053'],1,[],0
18106181,['POL1001'],1,[],0
18107985,['SMP2053'],1,[],0
18108317,['PHI1002'],1,[],0
18108537,['SMP2053'],1,[],0
18108928,['SMP2054'],1,[],0
18109596,['PHI1002'],1,[],0
19000791,['PHY3167'],1,[],0
19001736,['CHE2030E CLCHD'],1,[],0
19001931,['PHY3608'],1,[],0
19002193,['CHE1048'],1,[],0
19003251,['CHE3300'],1,[],0
19003729,['PHY1113'],1,[],0
19005580,['POL1001'],1,[],0
19005746,['MAT2411E CLCMTKHTT'],1,[],0
19008217,['PHY3167'],1,[],0
19012130,['PHY3606'],1,[],0
19014218,['BIO2203'],1,[],0
19014238,['BIO2203'],1,[],0
19016730,['MAT2407'],1,[],0
19019673,['BIO3302'],1,[],0
19100003,['CHE1155'],1,[],0
19100277,['HIS1001'],1,[],0
19100590,['PHI1002'],1,[],0
19100595,['HIS1001'],1,[],0
19100957,['CHE1155'],1,[],0
19101645,['HIS1001'],1,[],0
19101984,['PHI1002'],1,[],0
19102132,['PHI1002'],1,[],0
19102728,['CHE1155'],1,[],0
19103005,['CHE1155'],1,[],0
19103155,['CHE1155'],1,[],0
19103292,['HIS1001'],1,[],0
19103363,['POL1001'],1,[],0
19103381,['CHE1155'],1,[],0
19104027,['CHE1081'],1,[],0
19104218,['SMP2054'],1,[],0
19104449,['CHE1155'],1,[],0
19104565,['CHE1155'],1,[],0
19104820,['CHE1155'],1,[],0
19104901,['MAT1101'],1,[],0
19106163,['HIS1001'],1,[],0
19106221,['HIS1001'],1,[],0
19106930,['PHI1002'],1,[],0
19107052,['CHE1155'],1,[],0
