MSV,Ma_Mon_Hoc_rieng,So_luong_mon_rieng,Ma_Mon_chung,So_luong_lop_trung
20009238,"['CHE1052', 'CHE1054', 'CHE1054 CLCHD', 'CHE1054 CLCCNKTHH', 'CHE1091', 'CHE2018', 'CHE2019', 'CHE2019 CLCCNH', 'CHE2019 CLCHD', 'CHE3300', 'HIS1001']",11,"['CHE1054', 'CHE1054 CLCHD', 'CHE2019', 'CHE2019 CLCCNH']",11
20009240,"['CHE1048', 'CHE1079', 'CHE1084', 'CHE1085', 'CHE1091']",5,['CHE1085'],2
20009244,"['MAT2403 CLCMTKHTT', 'MAT3517E CLCMTKHTT', 'MAT3551E CLCMTKHTT', 'MAT3552E CLCMTKHTT', 'MAT3555 CLCMTKHTT', 'MAT3557', 'POL1001']",7,"['MAT3552E CLCMTKHTT', 'MAT3555 CLCMTKHTT']",4
20009297,"['HIS1001', 'PHY1013 TNL', 'PHY1020 CTĐB', 'PHY1070', 'PHY1113 TNL']",5,['PHY1070'],1
20009321,"['CHE1048', 'CHE1075', 'CHE1079', 'CHE1084', 'CHE1085', 'CHE1091']",6,['CHE1085'],2
20009354,"['HIS1056', 'MAT2314', 'MAT2315', 'MAT2315E CLCMTKHTT', 'MAT2317', 'MAT2406', 'MAT3365', 'MAT3372', 'MAT3507', 'PHY1100', 'PHY2004 QTL', 'PHY2304E QTL', 'PHY3163 QTL', 'PHY3605E QTL', 'POL1001']",15,['MAT2317'],1
20009364,"['HIS1001', 'MAT2403', 'MAT3373', 'MAT3514', 'PHI1002', 'PHI1006']",6,['PHI1006'],9
20009416,"['CHE1091', 'CHE2018', 'CHE2019', 'CHE2019 CLCCNH', 'CHE2019 CLCHD', 'CHE2021', 'HIS1001', 'POL1001']",8,"['CHE2019', 'CHE2019 CLCCNH']",2
20009420,"['MAT2314', 'MAT2315', 'MAT2315E CLCMTKHTT', 'MAT2317', 'MAT2407', 'MAT3365', 'MAT3372', 'MAT3452', 'MAT3539', 'PHI1002']",10,['MAT2317'],1
20009435,"['CHE1079', 'CHE2018', 'CHE2019', 'CHE2019 CLCCNH', 'CHE2019 CLCHD', 'CHE3300', 'HIS1001', 'POL1001']",8,"['CHE2019', 'CHE2019 CLCCNH']",2
20009456,"['CHE2018', 'CHE2019', 'CHE2019 CLCCNH', 'CHE2019 CLCHD', 'CHE2021', 'MAT1091', 'PHI1002', 'POL1001']",8,"['CHE2019', 'CHE2019 CLCCNH']",2
20009471,"['CHE1048', 'CHE1052', 'CHE1054', 'CHE1054 CLCHD', 'CHE1054 CLCCNKTHH', 'CHE1065', 'CHE1091', 'CHE2018', 'CHE2019', 'CHE2019 CLCCNH', 'CHE2019 CLCHD', 'CHE2021', 'CHE3045', 'MAT2403', 'MAT2502', 'MAT3514', 'PHY1020', 'PHY1100', 'POL1001']",19,"['CHE1054', 'CHE1054 CLCHD', 'CHE2019', 'CHE2019 CLCCNH']",11
