MSV,classCode,subjectCode
19003532,"['MAT2303 3', 'MAT3533', 'MAT3525', 'MAT2407 2', 'MAT3452 2', 'PHY1100 4']","['MAT3533', 'PHY1100', 'MAT2407', 'MAT3452', 'MAT3525', 'MAT2303']"
19003544,"['BIO2127 2CLCCNS', 'BIO2516 5CLCCNS', 'CHE1080 5', 'PHY1103 6', 'BIO3802E 2CLCCNS', 'BIO2215E 4CLCCNS', 'BIO2800 6CLCCNS']","['BIO2127 CLCCNS', 'BIO3802E CLCCNS', 'BIO2215E CLCCNS', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS', 'CHE1080', 'PHY1103']"
19003549,"['BIO3304 4', 'BIO2220 3', 'BIO2088 4', 'BIO3302 4', 'HIS1056 4', 'BIO3303 4']","['HIS1056', 'BIO3302', 'BIO2088', 'BIO3303', 'BIO3304', 'BIO2220']"
19003551,"['MAT1101 11', 'CHE3300 1', 'MAT1092 1']","['CHE3300', 'MAT1101', 'MAT1092']"
19003561,"['EVS3244 2', 'EVS3158', 'EVS4073 1', 'EVS3287', 'EVS3232']","['EVS4073', 'EVS3158', 'EVS3287', 'EVS3232', 'EVS3244']"
19003571,"['BIO3252 1', 'BIO2204 4', 'BIO2092', 'BIO2044', 'BIO2045 2', 'BIO2206 1', 'BIO2201 3']","['BIO2204', 'BIO2206', 'BIO2045', 'BIO2092', 'BIO2044', 'BIO3252', 'BIO2201']"
19003587,"['BIO2092', 'BIO2044', 'BIO3252 2', 'BIO2045 2', 'BIO2206 1', 'BIO2201 3', 'BIO2202 1']","['BIO2206', 'BIO2045', 'BIO2092', 'BIO2044', 'BIO3252', 'BIO2201', 'BIO2202']"
19003592,"['MAT3365', 'MAT3507', 'MAT2407 1']","['MAT3365', 'MAT2407', 'MAT3507']"
19003594,"['PHY3606', 'PHY3508 1', 'CHE1080 1', 'PHY3608']","['PHY3606', 'CHE1080', 'PHY3508', 'PHY3608']"
19003602,"['CHE3300 4CLCHD', 'MAT1092 8CLCCNH', 'CHE3283 1CLCHD', 'CHE2030E 2CLCHD', 'CHE1067 1CLCHD']","['CHE2030E CLCHD', 'MAT1092 CLCCNH', 'CHE3300 CLCHD', 'CHE1067 CLCHD', 'CHE3283 CLCHD']"
19003608,"['MAT2034', 'MAT3373', 'MAT3452 1', 'MAT3525']","['MAT3452', 'MAT2034', 'MAT3373', 'MAT3525']"
19003609,"['PHY3302', 'PHY3167 1']","['PHY3302', 'PHY3167']"
19003631,"['GEO3143', 'HIS1001 4', 'GEO3360', 'GEO2304']","['GEO3143', 'GEO2304', 'GEO3360', 'HIS1001']"
19003659,"['GLO3158', 'BIO3252 1', 'BIO2202 3', 'BIO2206 3', 'BIO2092', 'GLO3122', 'GLO3198', 'BIO2044', 'BIO2045 1', 'BIO2201 3', 'GLO3228', 'GLO3229']","['GLO3158', 'BIO2206', 'BIO2045', 'BIO2092', 'GLO3122', 'GLO3198', 'BIO2202', 'BIO2044', 'BIO3252', 'BIO2201', 'GLO3228', 'GLO3229']"
19003662,"['HIS1001 9', 'MAT2411E 2CLCMTKHTT', 'MAT3500 3CLCMTKHTT']","['HIS1001', 'MAT2411E CLCMTKHTT', 'MAT3500 CLCMTKHTT']"
19003667,"['PHY3606', 'PHY3508 1', 'PHY3608']","['PHY3606', 'PHY3508', 'PHY3608']"
19003691,"['MAT2407 1', 'MAT3305', 'MAT3347 1', 'MAT2311', 'MAT2306 1', 'MAT3306']","['MAT2306', 'MAT3305', 'MAT2407', 'MAT2311', 'MAT3347', 'MAT3306']"
19003692,"['MAT2411E 2CLCMTKHTT', 'MAT3533 2CLCMTKHTT', 'MAT3562E 2CLCMTKHTT', 'MAT3500 3CLCMTKHTT', 'MAT3373E 2CLCMTKHTT']","['MAT3562E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT3500 CLCMTKHTT', 'MAT3533 CLCMTKHTT', 'MAT2411E CLCMTKHTT']"
19003700,"['BIO2127 2CLCCNS', 'BIO2800 4CLCCNS', 'BIO3302E 4CLCCNS', 'BIO2516 4CLCCNS', 'BIO2215E 4CLCCNS']","['BIO3302E CLCCNS', 'BIO2215E CLCCNS', 'BIO2800 CLCCNS', 'BIO2516 CLCCNS', 'BIO2127 CLCCNS']"
19003703,"['PHY3508 4TNL', 'PHY3608 2TNL']","['PHY3608 TNL', 'PHY3508 TNL']"
19003708,"['MAT3533', 'MAT3500 1', 'MAT3452 1', 'MAT2407 2', 'PHI1002 4']","['MAT3533', 'MAT2407', 'MAT3452', 'PHI1002', 'MAT3500']"
19003717,"['PHY2064E QTL', 'PHY2306E QTL', 'PHY3608E QTL', 'PHY3508E QTL']","['PHY2064E QTL', 'PHY2306E QTL', 'PHY3608E QTL', 'PHY3508E QTL']"
19003720,"['EVS3244 2', 'EVS3158', 'EVS3287', 'EVS4073 1', 'HIS1001 8', 'EVS3232']","['EVS4073', 'EVS3158', 'EVS3287', 'EVS3232', 'EVS3244', 'HIS1001']"
19003729,['PHY1113 5'],['PHY1113']
19003731,"['PHY1103 3', 'BIO2202 3', 'BIO2206 3', 'BIO2092', 'BIO2044', 'BIO3252 3', 'BIO2045 1', 'BIO2201 3']","['BIO2206', 'BIO2045', 'BIO2092', 'BIO2202', 'BIO2044', 'BIO3252', 'BIO2201', 'PHY1103']"
19003732,"['MAT2306 2', 'MAT2407 1', 'MAT3347 1', 'MAT2311', 'MAT3306']","['MAT2306', 'MAT2407', 'MAT2311', 'MAT3347', 'MAT3306']"
19003736,"['BIO3252 1', 'BIO2220 4', 'BIO2092', 'BIO2201 4', 'BIO2044', 'BIO2045 2', 'BIO2206 2']","['BIO2206', 'BIO2045', 'BIO2092', 'BIO2044', 'BIO3252', 'BIO2201', 'BIO2220']"
19003756,"['CHE3283 1CLCHD', 'MAT1101 14', 'CHE2030E 1CLCHD']","['CHE3283 CLCHD', 'MAT1101', 'CHE2030E CLCHD']"
19003767,"['MAT2411E 1CLCMTKHTT', 'MAT3562E 1CLCMTKHTT', 'MAT3533 2CLCMTKHTT', 'MAT3500 3CLCMTKHTT', 'MAT3373E 1CLCMTKHTT']","['MAT3562E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT3500 CLCMTKHTT', 'MAT3533 CLCMTKHTT', 'MAT2411E CLCMTKHTT']"
19003782,"['BIO2089 TNS', 'BIO3377 TNS', 'BIO3701 TNS', 'BIO2504 TNS', 'BIO3257 TNS']","['BIO2089 TNS', 'BIO3377 TNS', 'BIO3701 TNS', 'BIO2504 TNS', 'BIO3257 TNS']"
